Time,L2P6(W),Smoothing(a=0.3),Moving average
884,239.1,224.8869311,212.6
885,172,229.1508517,213.48
886,142.3,212.0055962,207.82
887,195.1,191.0939174,189.1
888,197,192.2957421,181.36
889,200.4,193.7070195,171.92
890,124.8,195.7149137,196.52
891,265.3,174.4404396,196.62
892,195.6,201.6983077,200.94
893,218.6,199.8688154,198.66
894,189,205.4881708,238.92
895,326.1,200.5417195,231.82
896,229.8,238.2092037,243.2
897,252.5,235.6864426,242.72
898,216.2,240.7305098,236.48
899,157.8,233.3713569,206.66
900,177,210.6999498,189.06
901,141.8,200.5899649,174.52
902,179.8,182.9529754,168.9
903,188.1,182.0070828,192.9
904,277.8,183.8349579,189.7
905,161,212.0244706,194.64
906,166.5,196.7171294,200.5
907,209.1,187.6519906,206.74
908,219.3,194.0863934,176.64
909,127.3,201.6504754,177.16
910,163.6,179.3453328,172.9
911,145.2,174.6217329,170
912,194.6,165.7952131,170.86
913,223.6,174.4366491,172.74
914,136.7,189.1856544,183.26
915,216.2,173.4399581,188.24
916,170.1,186.2679707,178.84
917,147.6,181.4175795,173.94
918,199.1,171.2723056,201.08
919,272.4,179.6206139,195.38
920,187.7,207.4544298,205.18
921,219.1,201.5281008,213.64
922,189.9,206.7996706,222
923,240.9,201.7297694,220.54
924,265.1,213.4808386,209.22
925,131.1,228.966587,200.42
926,175.1,199.6066109,196.6
927,170.8,192.2546276,173.84
928,127.1,185.8182393,165.36
929,222.7,168.2027675,182.56
930,217.1,184.5519373,181.64
931,170.5,194.3163561,182.5
932,175.1,187.1714493,202.52
933,227.2,183.5500145,188.9
934,154.6,196.6450101,176.84
935,156.8,184.0315071,179.16
936,182.1,175.862055,183.62
937,197.4,177.7334385,187.6
938,247.1,183.6334069,196.48
939,199,202.6733849,195.06
940,149.7,201.5713694,202.46
941,219.1,186.0099586,204
942,205.1,195.936971,195.58
943,205,198.6858797,190.76
944,174.9,200.5801158,206.34
945,227.6,192.8760811,203.96
946,207.2,203.2932567,207.4
947,222.3,204.4652797,231.46
948,325.3,209.8156958,236.22
949,198.7,244.4609871,220.24
950,147.7,230.7326909,216.66
951,189.3,205.8228837,224.9
952,263.5,200.8660186,230.46
953,353.1,219.656213,230.04
954,196.6,259.6893491,223.54
955,115.2,240.7625444,224.98
956,196.5,203.0937811,212.54
957,201.3,201.1156467,178.16
958,181.2,201.1709527,171.9
959,165.3,195.1796669,180.82
960,159.8,186.2157668,183.08
961,207.8,178.2910368,189.38
962,232.8,187.1437257,204.78
963,258.2,200.840608,214.04
964,211.6,218.0484256,236.8
965,273.6,216.1138979,248.92
966,268.4,233.3597286,248.3
967,229.7,243.87181,232.56
968,179.5,239.620267,238.44
969,241,221.5841869,234.74
970,255.1,227.4089308,224.4
971,216.7,235.7162516,225.42
972,234.8,230.0113761,233.22
973,218.5,231.4479633,217.8
974,163.9,227.5635743,197.34
975,152.8,208.464502,195.92
976,209.6,191.7651514,185.84
977,184.4,197.115606,184.42
978,211.4,193.3009242,190.38
979,193.7,198.7306469,190.84
980,155.1,197.2214529,215.16
981,331.2,184.585017,222.6
982,221.6,228.5695119,213.7
983,166.9,226.4786583,206.84
984,159.4,208.6050608,227.28
985,257.3,193.8435426,191.92
986,154.4,212.8804798,184.52
987,184.6,195.3363359,195.7
988,222.8,192.1154351,216.6
989,263.9,201.3208046,220.38
990,276.2,220.0945632,232.34
991,214.2,236.9261942,235.92
992,202.5,230.108336,223.56
993,161,221.8258352,216.06
994,226.4,203.5780846,212.6
995,258.9,210.4246592,213.48
996,218.6,224.9672615,209.7
997,183.6,223.057083,220.7
998,216,211.2199581,199.08
999,118.3,212.6539707,177.94
1000,153.2,184.3477795,163.66
1001,147.2,175.0034456,164.88
1002,189.7,166.6624119,162.06
1003,201.9,173.5736884,187.1
1004,243.5,182.0715819,191.96
1005,177.5,200.5001073,218.18
1006,278.3,193.6000751,216.78
1007,182.7,219.0100526,220
1008,218,208.1170368,211.14
1009,199.2,211.0819258,209.46
1010,169.1,207.517348,184.5
1011,153.5,195.9921436,184.32
1012,181.8,183.2445005,190.06
1013,246.7,182.8111504,196.5
1014,231.4,201.9778053,210.5
1015,239.1,210.8044637,221
1016,206,219.2931246,226.8
1017,210.8,215.3051872,218.02
1018,202.8,213.953631,221.06
1019,246.6,210.6075417,214.86
1020,208.1,221.4052792,215.16
1021,207.5,217.4136954,216.12
1022,215.6,214.4395868,219.04
1023,217.4,214.7877108,199.76
1024,150.2,215.5713975,209.82
1025,258.4,195.9599783,209.22
1026,204.5,214.6919848,213.5
1027,237,211.6343894,199.46
1028,147.2,219.2440725,226.96
1029,287.7,197.6308508,217.78
1030,212.5,224.6515955,221.82
1031,224.7,221.0061169,217.14
1032,213.6,222.1142818,226.72
1033,195.1,219.5599973,204.92
1034,178.7,212.2219981,211.14
1035,243.6,202.1653987,208.3
1036,210.5,214.5957791,212.38
1037,234,213.3670453,214.98
1038,208.1,219.5569317,242.86
1039,318.1,216.1198522,253.34
1040,296,246.7138966,242.7
1041,157.3,261.4997276,236.02
1042,200.6,230.2398093,234.46
1043,200.3,221.3478665,230.04
1044,296,215.0335066,213.72
1045,214.4,239.3234546,226.08
1046,219.1,231.8464182,234.5
1047,242.7,228.0224928,225.48
1048,155.2,232.4257449,208.2
1049,209.6,209.2580214,207.26
1050,209.7,209.360615,200.06
1051,183.1,209.4624305,190.34
1052,194.1,201.5537014,203.16
1053,219.3,199.3175909,200.16
1054,194.6,205.3123137,195.84
1055,188.1,202.0986196,206.04
1056,234.1,197.8990337,209.16
1057,209.7,208.7593236,199.7
1058,172,209.0415265,211.44
1059,253.3,197.9290686,215.62
1060,209,214.540348,221.34
1061,262.7,212.8782436,231.24
1062,259.2,227.8247705,233.7
1063,184.3,237.2373394,239.2
1064,280.8,221.3561376,231.44
1065,170.2,239.1892963,219.56
1066,203.3,218.4925074,228.64
1067,304.6,213.9347552,239.54
1068,238.8,241.1343286,232.44
1069,245.3,240.43403,246.34
1070,239.7,241.893821,249.58
1071,219.5,241.2356747,229.68
1072,205.1,234.7149723,211.04
1073,145.6,225.8304806,189.42
1074,137.2,201.7613364,
