Time,L2P6(W),Smoothing(a=0.3),Moving average
203,198.5,185.9046704,181.94
204,192.8,189.6832693,193.4
205,219.7,190.6182885,193.64
206,187.3,199.342802,205.08
207,227.1,195.7299614,204.5
208,195.6,205.140973,205.44
209,197.5,202.2786811,200.96
210,197.3,200.8450768,206.88
211,216.9,199.7815537,200.9
212,197.2,204.9170876,203.5
213,208.6,202.6019613,202.92
214,194.6,204.4013729,204.2
215,203.7,201.460961,196.28
216,177.3,202.1326727,193.24
217,182,194.6828709,180.8
218,146.4,190.8780096,194.28
219,262,177.5346067,198
220,222.3,202.8742247,207.88
221,226.7,208.7019573,208.14
222,183.3,214.1013701,216.56
223,188.5,204.8609591,205.74
224,207.9,199.9526714,207.54
225,231.3,202.3368699,204.04
226,209.2,211.025809,207.62
227,201.2,210.4780663,207.2
228,186.4,207.6946464,201.28
229,178.3,201.3062525,188
230,164.9,194.4043767,176.84
231,153.4,185.5530637,184.42
232,239.1,175.9071446,183.1
233,179.8,194.8650012,185.34
234,189.5,190.3455009,187.86
235,177.5,190.0918506,199.98
236,214,186.3142954,194.26
237,210.5,194.6200068,196.6
238,191.5,199.3840048,189.34
239,153.2,197.0188033,189.98
240,180.7,183.8731623,195.12
241,239.7,182.9212136,194.72
242,208.5,199.9548495,192.72
243,181.5,202.5183947,203.96
244,209.4,196.2128763,200.74
245,164.6,200.1690134,190.18
246,186.9,189.4983094,191.16
247,213.4,188.7188166,203.82
248,244.8,196.1231716,194.08
249,160.7,210.7262201,199.02
250,189.3,195.7183541,198.26
251,183.1,193.7928479,195.82
252,201.2,190.5849935,172.76
253,129.5,193.7694954,194.44
254,269.1,174.4886468,187.24
255,153.3,202.8720528,205.44
256,274.1,188.0004369,192.14
257,134.7,213.8303059,205.86
258,198.1,190.0912141,186.46
259,172.1,192.4938499,190.44
260,173.2,186.3756949,181.58
261,229.8,182.4229864,192.9
262,191.3,196.6360905,192.08
263,194,195.0352634,197.5
264,199.2,194.7246843,201.14
265,191.4,196.067279,188.02
266,164.2,194.6670953,186.58
267,184.1,185.5269667,187.6
268,199.1,185.0988767,242.62
269,474.3,189.2992137,303.14
270,494,274.7994496,360.88
271,452.9,340.5596147,410.08
272,430.1,374.2617303,469.96
273,498.5,391.0132112,471.66
274,482.8,423.2592478,454.46
275,408,441.1214735,453.02
276,445.7,431.1850314,467.58
277,502.9,435.539522,465.6
278,488.6,455.7476654,449.34
279,401.5,465.6033658,450.12
280,411.9,446.372356,454.52
281,467.7,436.0306492,456.38
282,512.2,445.5314545,446.8
283,440.7,465.5320181,449.14
284,413.2,458.0824127,457.6
285,454.2,444.6176889,452.98
286,444.6,447.4923822,443.42
287,464.4,446.6246676,449.26
288,469.9,451.9572673,457.56
289,454.7,457.3400871,458.06
290,456.7,456.548061,459.72
291,452.9,456.5936427,457.24
292,452,455.4855499,455.26
293,460,454.4398849,451.46
294,435.7,456.1079194,441.56
295,407.2,449.9855436,443.88
296,464.5,437.1498805,435.6
297,410.6,445.3549164,439.36
298,478.8,434.9284415,419.44
299,336.1,448.089909,413.4
300,377,414.4929363,387.26
301,333.8,403.2450554,358.98
302,269.2,382.4115388,339.5
303,381.4,348.4480772,343.12
304,354.2,358.333654,336.94
305,346.1,357.0935578,332.08
306,309.5,353.7954905,330.18
307,259.7,340.5068433,304.48
308,252.9,316.2647903,286.22
309,262.9,297.2553532,267.04
310,250.2,286.9487473,257.32
311,260.9,275.9241231,264.94
312,297.8,271.4168862,248.3
313,169.7,279.3318203,258.86
314,315.7,246.4422742,256.32
315,237.5,267.219592,230.12
316,129.9,258.3037144,201.32
317,153.8,219.7826001,205
318,188.1,199.98782,170.7
319,144.2,196.421474,158.28
320,175.4,180.7550318,168.86
321,182.8,179.1485223,187.04
322,244.7,180.2439656,183.94
323,172.6,199.5807759,189.5
324,172,191.4865431,199.18
325,223.8,185.6405802,196.2
326,167.9,197.0884061,188.98
327,208.6,188.3318843,182.86
328,142,194.412319,182.4
329,169.7,178.6886233,179.94
330,211.5,175.9920363,187.02
331,203.3,186.6444254,181.86
332,182.8,191.6410978,177.08
333,118.1,188.9887685,168.5
334,126.8,167.7221379,147.94
335,108.7,155.4454965,148.02
336,203.7,141.4218476,134.74
337,116.4,160.1052933,136.86
338,128.7,146.9937053,136.4
339,124.5,141.5055937,145.54
340,154.4,136.4039156,136.6
341,159,141.8027409,145.4
342,160.4,146.9619186,149.22
343,147.8,150.9933431,157.96
344,168.2,150.0353401,159.78
345,163.5,155.4847381,153.04
346,125.3,157.8893167,139.686
347,93.63,148.1125217,133.986
348,119.3,131.7677652,130.546
349,151,128.0274356,120.726
350,114.4,134.9192049,123.946
351,141.4,128.7634435,145.16
352,199.7,132.5544104,158
353,183.5,152.6980873,179.22
354,257.1,161.9386611,199.04
355,213.5,190.4870628,198.82
356,140.3,197.3909439,181.56
357,113.4,180.2636608,163.282
358,92.11,160.2045625,138.622
359,133.8,139.7761938,118.422
360,112.5,137.9833356,120.182
361,149.1,130.3383349,124.562
362,135.3,135.9668345,130.04
363,119.5,135.7667841,135.9
364,163.1,130.8867489,154.84
365,207.2,140.5507242,161.04
366,180.1,160.545507,169.4
367,177.1,166.4118549,179.06
368,167.8,169.6182984,179.7
369,166.3,169.0728089,170.58
370,161.6,168.2409662,182.2
371,238.2,166.2486764,177.24
372,152.3,187.8340734,198.6
373,274.6,177.1738514,199.42
374,170.4,206.401696,214.18
375,235.4,195.6011872,201.82
376,176.4,207.540831,204.4
377,165.2,198.1985817,201.06
378,257.9,188.2990072,207.22
379,201.2,209.179305,195.22
380,175.4,206.7855135,201.44
381,207.5,197.3698595,197.34
382,144.7,200.4089016,177.76
383,160,183.6962311,167.26
384,148.7,176.5873618,170.6
385,192.1,168.2211533,170.14
386,205.2,175.3848073,191.84
387,253.2,184.3293651,200.54
388,203.5,204.9905556,212.7
389,209.5,204.5433889,209.22
390,174.7,206.0303722,219.78
391,258,196.6312606,207.4
392,191.3,215.0418824,200.46
393,168.8,207.9193177,198.34
394,198.9,196.1835224,198.16
395,173.8,196.9984657,185.52
396,194.8,190.038926,182.32
397,175.3,191.4672482,207.74
398,295.9,186.6170737,214.32
399,231.8,219.4019516,227.44
400,239.4,223.1213661,239.9
401,257.1,228.0049563,254.34
402,247.5,236.7334694,240.02
403,224.3,239.9634286,243.48
404,249.1,235.2644,259.96
405,321.8,239.41508,244.96
406,182.1,264.130556,223.96
407,142.5,239.5213892,226
408,234.5,210.4149724,220.32
409,220.7,217.6404807,200.06
410,220.5,218.5583365,198.58
411,174.7,219.1408355,205.68
412,178,205.8085849,211.08
413,261.5,197.4660094,215
414,240.3,216.6762066,212.08
415,205.9,223.7633446,219.42
416,211.4,218.4043412,229.28
417,227.3,216.3030389,216.9
418,199.6,219.6021272,205.16
419,181.6,213.601489,192.98
420,145,204.0010423,186.96
421,181.3,186.3007296,187.2
422,228.5,184.8005107,183.98
423,183.5,197.9103575,186.92
424,196.3,193.5872503,206.62
425,243.5,194.4010752,223.98
426,268.1,209.1307526,226.54
427,241.3,226.8215268,244.78
428,274.7,231.1650688,238.14
429,163.1,244.2255482,238.62
430,245.9,219.8878837,227.6
431,213,227.6915186,207.5
432,140.8,223.284063,189.18
433,183.1,198.5388441,186.36
434,149,193.9071909,179.4
435,211.1,180.4350336,180.98
436,220.9,189.6345235,192.44
